nro;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11
1;1;2;1;1;3;3;1;2;3;2;2
2;1;2;1;1;2;1;1;1;2;1;1
3;1;2;1;1;3;3;2;1;2;2;2
4;1;1;1;1;1;1;1;1;1;1;1
5;3;3;2;1;1;1;2;1;2;1;2
6;1;1;1;1;1;1;1;1;2;2;1
7;2;1;1;1;2;2;1;1;2;1;1
8;1;1;1;1;2;1;2;2;2;2;1
9;1;1;1;1;1;1;1;1;2;1;1
10;1;2;1;1;2;1;1;1;3;2;1
11;1;1;1;1;1;2;1;1;2;1;1
12;1;1;1;1;1;1;1;1;1;1;1
13;1;1;1;1;1;1;1;1;1;1;1
14;2;3;3;3;3;3;3;3;2;3;2
15;1;1;1;1;1;2;1;1;3;1;1
16;1;1;1;1;2;2;3;1;2;2;1
17;1;1;1;1;1;1;1;1;1;1;1
18;1;1;1;1;1;2;2;1;3;2;1
19;1;1;1;1;2;1;1;1;1;2;1
20;1;2;1;1;2;2;2;2;2;3;3
21;2;1;1;1;2;2;2;1;2;1;2
22;1;1;1;1;2;1;1;1;1;2;1
23;1;1;1;1;2;1;1;1;3;2;1
24;1;3;1;1;1;2;2;1;1;2;1
25;1;1;1;1;2;2;1;1;2;1;2
26;2;1;1;1;1;2;1;2;1;1;1
27;1;1;1;1;1;1;1;1;1;1;1
28;1;1;1;1;2;1;1;1;1;1;1
29;1;2;1;1;1;1;1;1;2;1;1
30;2;2;1;1;1;1;1;1;3;1;1
31;1;1;1;1;2;1;2;2;2;2;2
32;2;1;1;1;2;2;1;1;2;1;1
33;1;1;1;1;2;3;2;2;2;2;2
34;1;1;1;1;1;1;2;1;1;2;1
35;1;1;1;1;1;1;1;1;1;1;1
36;1;1;1;1;2;1;1;1;2;1;1
37;1;2;1;1;2;2;2;2;2;3;3
38;2;1;1;1;2;2;2;1;2;1;2
39;1;1;1;1;2;1;1;1;1;2;1
40;1;1;1;1;2;1;1;1;3;2;1
41;1;3;1;1;1;2;2;1;1;2;1
42;1;1;1;1;2;2;1;1;2;1;2
43;1;1;1;1;2;1;2;1;1;1;2
44;2;1;1;1;1;2;1;2;1;1;1
45;1;1;1;1;1;1;1;1;1;1;1
46;1;1;1;1;2;1;1;1;1;1;1
47;1;2;1;1;1;1;1;1;2;1;1
48;1;1;1;1;2;3;2;2;2;2;2
49;1;1;1;1;1;1;2;1;1;2;1
50;1;1;1;1;1;1;1;1;1;1;1
51;1;1;1;1;2;1;1;1;2;1;1
52;1;2;1;1;2;2;2;2;2;3;3
53;2;1;1;1;2;2;2;1;2;1;2
54;2;1;1;1;2;2;1;1;2;1;1
55;1;1;1;1;1;1;1;1;2;1;1
56;1;2;1;1;2;1;1;1;3;2;1
57;1;1;1;1;1;2;1;1;2;1;1
58;1;1;1;1;1;1;1;1;1;1;1
59;1;1;1;1;1;1;1;1;1;1;1
60;2;3;3;3;3;3;3;3;2;3;2
